S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
222,2022-06-01 11:58:00,C13566282778,1.11E+15,,Hourly         ,$14.94 ,2022-06-01 17:40:00
226,2022-06-01 12:03:00,C13471561797,0,,Season         ,$0.00 ,2022-06-01 18:10:00
228,2022-06-01 12:06:00,C13388447312,1.11E+15,,Hourly         ,$0.55 ,2022-06-01 12:17:00
234,2022-06-01 12:10:00,C13469182380,1.11E+15,,Hourly         ,$3.50 ,2022-06-01 13:19:00
235,2022-06-01 12:11:00,C13566122736,0,,Hourly         ,$0.00 ,2022-06-01 12:14:00
238,2022-06-01 12:14:00,C13396488538,1.01E+15,,Hourly         ,$2.50 ,2022-06-01 13:03:00
240,2022-06-01 12:16:00,C13471279991,1.11E+15,,Hourly         ,$4.45 ,2022-06-01 14:28:00
244,2022-06-01 12:18:00,C13372519259,0,,Season         ,$0.00 ,2022-06-01 19:15:00
247,2022-06-01 12:23:00,C13472663488,0,,Season         ,$0.00 ,2022-06-01 18:35:00
251,2022-06-01 12:32:00,C13388909344,1.11E+15,,Hourly         ,$5.56 ,2022-06-01 14:28:00
254,2022-06-01 12:40:00,C13388714710,1.11E+15,,Hourly         ,$4.40 ,2022-06-01 14:09:00
257,2022-06-01 12:41:00,C13472440571,0,,Hourly         ,$0.00 ,2022-06-01 17:22:00
260,2022-06-01 12:42:00,C13472535554,0,,Season         ,$0.00 ,2022-06-01 18:10:00
263,2022-06-01 12:47:00,C13469679640,1.11E+15,,Hourly         ,$6.65 ,2022-06-01 15:14:00
265,2022-06-01 12:56:00,C13472806910,0,,Season         ,$0.00 ,2022-06-01 18:30:00
272,2022-06-01 13:15:00,C13472065179,0,,Hourly         ,$0.00 ,2022-06-01 13:22:00
279,2022-06-01 13:28:00,C13473862674,1.11E+15,,Hourly         ,$1.84 ,2022-06-01 14:05:00
278,2022-06-01 13:28:00,C13473974635,0,,Season         ,$0.00 ,2022-06-01 18:10:00
281,2022-06-01 13:33:00,C13471780602,1.11E+15,,Hourly         ,$6.19 ,2022-06-01 17:06:00
284,2022-06-01 13:34:00,C13565930830,1.11E+15,,Hourly         ,$4.86 ,2022-06-01 15:28:00
285,2022-06-01 13:34:00,C13565938745,1.11E+15,,Hourly         ,$1.05 ,2022-06-01 13:55:00
288,2022-06-01 13:36:00,C13565784962,0,,Season         ,$0.00 ,2022-06-01 18:57:00
291,2022-06-01 13:38:00,C13475294014,1.11E+15,,Hourly         ,$2.90 ,2022-06-01 14:44:00
293,2022-06-01 13:42:00,C13474555138,1.11E+15,,Hourly         ,$9.45 ,2022-06-01 20:07:00
295,2022-06-01 13:44:00,C13565716703,0,,Season         ,$0.00 ,2022-06-01 21:42:00
297,2022-06-01 13:45:00,C13565758101,0,,Season         ,$0.00 ,2022-06-01 19:02:00
299,2022-06-01 13:46:00,C13388656658,1.00E+15,,Hourly         ,$0.74 ,2022-06-01 14:00:00
302,2022-06-01 13:49:00,C13468758529,0,,Season         ,$0.00 ,2022-06-01 18:43:00
305,2022-06-01 13:52:00,C13473657456,0,,Season         ,$0.00 ,2022-06-01 18:26:00
308,2022-06-01 13:53:00,C13471523386,0,,Season         ,$0.00 ,2022-06-01 17:14:00
314,2022-06-01 14:01:00,C13474297835,0,,Season         ,$0.00 ,2022-06-01 17:28:00
316,2022-06-01 14:02:00,C13471424912,0,,Season         ,$0.00 ,2022-06-01 19:31:00
318,2022-06-01 14:03:00,C13473179191,0,,Season         ,$0.00 ,2022-06-01 18:58:00
321,2022-06-01 14:05:00,C13471352230,1.11E+15,,Hourly         ,$2.16 ,2022-06-01 14:58:00
326,2022-06-01 14:20:00,C13472983734,0,,Season         ,$0.00 ,2022-06-01 17:13:00
334,2022-06-01 14:42:00,C13474969600,1.11E+15,,Hourly         ,$10.92 ,2022-06-01 18:12:00
340,2022-06-01 14:44:00,C13474052613,1.11E+15,,Hourly         ,$7.59 ,2022-06-01 21:31:00
337,2022-06-01 14:44:00,C13469182989,0,,Season         ,$0.00 ,2022-06-01 18:14:00
342,2022-06-01 14:54:00,C13856758932,1.11E+15,,Hourly         ,$10.44 ,2022-06-01 18:19:00
344,2022-06-01 14:55:00,C13470813579,1.11E+15,,Hourly         ,$3.76 ,2022-06-01 16:29:00
347,2022-06-01 15:03:00,C13565823756,1.11E+15,,Hourly         ,$10.08 ,2022-06-01 22:50:00
349,2022-06-01 15:04:00,C13469059605,1.11E+15,,Hourly         ,$0.80 ,2022-06-01 15:23:00
355,2022-06-01 15:15:00,C13469926614,1.11E+15,,Hourly         ,$1.28 ,2022-06-01 15:46:00
357,2022-06-01 15:16:00,C13468457356,1.11E+15,,Hourly         ,$4.48 ,2022-06-01 17:08:00
359,2022-06-01 15:23:00,C13473010381,1.11E+15,,Hourly         ,$0.92 ,2022-06-01 15:46:00
366,2022-06-01 15:36:00,C13388519326,1.11E+15,,Hourly         ,$2.20 ,2022-06-01 16:30:00
368,2022-06-01 15:39:00,C13471724816,1.11E+15,,Hourly         ,$0.92 ,2022-06-01 16:01:00
370,2022-06-01 15:45:00,C13474398130,0,,Season         ,$0.00 ,2022-06-01 18:17:00
376,2022-06-01 15:53:00,C13388294464,1.11E+15,,Hourly         ,$0.48 ,2022-06-01 16:04:00
380,2022-06-01 16:06:00,C13473854572,1.11E+15,,Hourly         ,$2.44 ,2022-06-01 17:06:00
382,2022-06-01 16:08:00,C13473492759,1.11E+15,,Hourly         ,$2.32 ,2022-06-01 17:05:00
385,2022-06-01 16:12:00,C13388620479,1.11E+15,,Hourly         ,$7.32 ,2022-06-01 19:35:00
391,2022-06-01 16:21:00,C13473410992,1.11E+15,,Hourly         ,$2.84 ,2022-06-01 17:31:00
397,2022-06-01 16:46:00,C13471791813,1.11E+15,,Hourly         ,$5.96 ,2022-06-01 22:19:00
401,2022-06-01 16:54:00,C13470229413,1.11E+15,,Hourly         ,$5.64 ,2022-06-01 21:25:00
404,2022-06-01 17:04:00,C13566153070,1.11E+15,,Hourly         ,$3.67 ,2022-06-01 21:23:00
410,2022-06-01 17:06:00,C13566251387,1.11E+15,,Hourly         ,$3.61 ,2022-06-01 20:10:00
418,2022-06-01 17:18:00,C13471748222,1.11E+15,,Hourly         ,$3.28 ,2022-06-01 21:30:00
425,2022-06-01 17:24:00,C13566043643,1.11E+15,,Hourly         ,$3.11 ,2022-06-01 21:30:00
427,2022-06-01 17:27:00,C13472065179,0,,Hourly         ,$0.00 ,2022-06-01 17:31:00
442,2022-06-01 17:36:00,C13060207054,1.01E+15,,Hourly         ,$1.50 ,2022-06-01 19:43:00
445,2022-06-01 17:39:00,C13059936314,1.11E+15,,Hourly         ,$1.50 ,2022-06-01 22:52:00
449,2022-06-01 17:42:00,C13471157573,1.00E+15,,Hourly         ,$3.72 ,2022-06-01 22:52:00
