S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
332,2/6/22 18:44,Exit      ,C13473275430,0,,Season         ,$0.00 
333,2/6/22 18:45,Exit      ,C13475420908,0,,Season         ,$0.00 
334,2/6/22 18:46,Entry     ,C13471465479,0,,Hourly         ,$0.00 
335,2/6/22 18:47,Exit      ,C13474577908,0,,Season         ,$0.00 
336,2/6/22 18:47,Exit      ,C13471891516,0,,Season         ,$0.00 
337,2/6/22 18:51,Entry     ,C13566234044,0,,Hourly         ,$0.00 
338,2/6/22 18:57,Exit      ,C13473417907,1.11E+15,,Hourly         ,$25.68 
339,2/6/22 19:17,Entry     ,C13473732132,0,,Hourly         ,$0.00 
340,2/6/22 19:26,Exit      ,C13474802710,0,,Season         ,$0.00 
341,2/6/22 19:36,Exit      ,C13474693365,0,,Season         ,$0.00 
342,2/6/22 19:37,Entry     ,C13473442617,0,,Hourly         ,$0.00 
343,2/6/22 19:45,Entry     ,C13471802656,0,,Hourly         ,$0.00 
344,2/6/22 19:49,Entry     ,C13472684118,0,,Hourly         ,$0.00 
345,2/6/22 19:55,Exit      ,C13473132573,0,,Season         ,$0.00 
346,2/6/22 19:55,Entry     ,C13472203052,0,,Hourly         ,$0.00 
347,2/6/22 19:56,Entry     ,C13474730630,0,,Hourly         ,$0.00 
348,2/6/22 19:56,Entry     ,C13468910783,0,,Hourly         ,$0.00 
349,2/6/22 19:57,Exit      ,C13474730630,0,,Hourly         ,$0.00 
350,2/6/22 19:58,Entry     ,C13471684909,0,,Hourly         ,$0.00 
351,2/6/22 20:04,Entry     ,C13566191977,0,,Hourly         ,$0.00 
352,2/6/22 20:11,Entry     ,C13472175631,0,,Hourly         ,$0.00 
353,2/6/22 20:32,Entry     ,C13471383465,0,,Hourly         ,$0.00 
354,2/6/22 20:33,Exit      ,C13472313330,0,,Season         ,$0.00 
355,2/6/22 20:33,Entry     ,C13470526688,0,,Hourly         ,$0.00 
356,2/6/22 21:02,Entry     ,C13566347508,0,,Hourly         ,$0.00 
357,2/6/22 21:05,Exit      ,C13471802656,1.11E+15,,Hourly         ,$3.00 
358,2/6/22 21:09,Entry     ,C13566104980,0,,Hourly         ,$0.00 
359,2/6/22 21:21,Exit      ,C13566234044,1.11E+15,,Hourly         ,$3.00 
360,2/6/22 21:29,Entry     ,C13565775741,0,,Hourly         ,$0.00 
361,2/6/22 21:40,Entry     ,C13469463920,0,,Hourly         ,$0.00 
362,2/6/22 21:45,Entry     ,C13470514211,0,,Hourly         ,$0.00 
363,2/6/22 21:49,Exit      ,C13469463920,0,,Hourly         ,$0.00 
364,2/6/22 21:49,Exit      ,C13473732132,1.11E+15,,Hourly         ,$3.00 
365,2/6/22 22:00,Exit      ,C13475104116,0,,Season         ,$0.00 
366,2/6/22 22:01,Exit      ,C13471465479,1.11E+15,,Hourly         ,$3.00 
